	precision	recall	thresholds
0	0.34351304612227057	1.0	0.199361190199852
1	0.34374881138032026	0.999944678026112	0.20691551268100739
2	0.3436465349925791	0.9991148484177915	0.20712211728096008
3	0.34391393090818917	0.9973998672272627	0.2083839327096939
4	0.3444159620461415	0.9960168178800619	0.20943373441696167
5	0.34520316784597976	0.9959061739322859	0.21068993210792542
6	0.3453157369753702	0.9959061739322859	0.21339064836502075
7	0.3453171162183939	0.9957955299845098	0.21546873450279236
8	0.3455027064378671	0.9957955299845098	0.21567533910274506
9	0.3455624028105742	0.9957955299845098	0.2159382551908493
10	0.34577444476492647	0.9947997344545253	0.216144859790802
11	0.3471251496312314	0.9946337685328612	0.21686694025993347
12	0.3471519598378065	0.9946337685328612	0.21698805689811707
13	0.34704087151355945	0.993969904846205	0.2169976532459259
14	0.3469935852847979	0.9935273290551007	0.21719466149806976
15	0.34735922330097085	0.9896547908829387	0.2182442545890808
16	0.34723247232472326	0.9891015711440584	0.2184508591890335
17	0.34733365711510444	0.9891015711440584	0.2184564769268036
18	0.34782016613816313	0.9891015711440584	0.21971267461776733
19	0.3479216937806492	0.9891015711440584	0.22000834345817566
20	0.3479090042228579	0.9890462491701704	0.22021494805812836
21	0.34797672110088174	0.9890462491701704	0.2207624465227127
22	0.34799026763990265	0.9890462491701704	0.2208860069513321
23	0.34807834585880615	0.9890462491701704	0.22094497084617615
24	0.3480919003115265	0.9890462491701704	0.22115157544612885
25	0.34815290841463653	0.9890462491701704	0.22147676348686218
26	0.34835490410104475	0.9887143173268422	0.2217782884836197
27	0.3485315339911853	0.9887143173268422	0.22241339087486267
28	0.34855225161944897	0.988271741535738	0.22346319258213043
29	0.3485726550761966	0.988271741535738	0.22442126274108887
30	0.34853451976739647	0.9881057756140739	0.22462786734104156
31	0.3486161533356755	0.9881057756140739	0.22554127871990204
32	0.34862295785919234	0.9881057756140739	0.22555087506771088
33	0.34868421052631576	0.9881057756140739	0.22574788331985474
34	0.3486978251532545	0.9881057756140739	0.22601079940795898
35	0.34852007424050013	0.9868886921885373	0.22602039575576782
36	0.3484380498103765	0.9860588625802169	0.22621740400791168
37	0.34975524406786324	0.9842332374419119	0.22693949937820435
38	0.3497896268333923	0.9842332374419119	0.22707019746303558
39	0.3500029509551258	0.9842332374419119	0.22726699709892273
40	0.3500511569337321	0.9842332374419119	0.22747360169887543
41	0.3503613698576183	0.9842332374419119	0.2283167690038681
42	0.35021279949558637	0.9832927638858154	0.22832639515399933
43	0.3499566348655681	0.9821863244080549	0.2284403294324875
44	0.3495371740975388	0.9797521575569816	0.2285233736038208
45	0.34941757156959524	0.9790882938703253	0.22856156527996063
46	0.3495832181092719	0.9790882938703253	0.22864693403244019
47	0.35059871901977163	0.9751051117503873	0.22876816987991333
48	0.3506335912789194	0.9751051117503873	0.22903108596801758
49	0.35072948388766145	0.9748285018809472	0.22923769056797028
50	0.351396090945353	0.974717857933171	0.22953921556472778
51	0.35140798690801683	0.9741093162204028	0.22978520393371582
52	0.3517589947459896	0.9741093162204028	0.2299087643623352
