,importance
feachan__frange__last_segseg__range__amount_normalize60_rolling_24_std__range_mean_abs_log,102.99593353271484
feachan__fpoint__last_seg__end__amount_normalize60_rolling_480_exp_mean__point_abs_log,98.18576049804688
feachan__frange__last_segseg__range__close_rolling_96_std_mean__range_mean,97.85246276855469
feachan__frange__last_segseg__range__macd_signal_18__range_diff_abs,97.62609100341797
feachan__fcmp__last_segseg__range_rate12_cmp__atrz_100_6__cmp_2mean,97.519775390625
feachan__frange__last_segseg__range__atrz_100_1__range_diff_rate_abs,93.25848388671875
feachan__fpoint__now_seg__end__macdsignal_6__point,91.25653076171875
feachan__frange__last_segseg__range__close_rolling_2880_std_mean__range_diff_rate_abs_log,91.04253387451172
feachan__frange__last_segseg__range__esv_96__range_diff_abs,90.441162109375
feachan__frange__now_segseg__range__bbands_normal_3__range_mean,87.19305419921875
feachan__frange__last_segseg__range__close_rolling_96_mean__range_diff_abs_log,83.47564697265625
feachan__fpoint__now_segseg__end__close_rolling_2880_std_mean__point,82.93733215332031
feachan__frange__last_segseg__range__macd_96__range_diff_abs_log,82.52821350097656
feachan__fcmp__now_segseg__range_rate13_cmp__macdsignal_96__cmp_2mean_abs_log,77.24158477783203
feachan__frange__last_segseg__range__atrz_20_1__range_mean,70.75439453125
feachan__fpoint__last_segseg__end__close_rolling_480_std_mean__point,70.68380737304688
feachan__frange__last_segseg__range__macdsignal_3__range_diff,68.57101440429688
feachan__fpoint__last_seg__end__ev_96__point_abs_log,65.34733581542969
feachan__frange__last_segseg__range__amount_normalize20_rolling_480_std_mean__range_diff_rate_abs,64.04143524169922
feachan__fpoint__last_segseg__end__esv_96__point,61.555023193359375
feachan__frange__last_segseg__range__close_rolling_2880_std_mean__range_mean,61.529510498046875
feachan__frange__last_segseg__range__close_rolling_480_exp_mean__range_diff_abs,61.38232421875
feachan__fpoint__last_seg__end__macdhist_6__point_abs,47.49013900756836
feachan__frange__last_segseg__range__close_rolling_2880_std__range_diff_rate,46.475067138671875
feachan__frange__last_segseg__range__close_rolling_2880_std__range_diff_abs,40.138458251953125
feachan__frange__last_segseg__range__close_rolling_480_std_mean__range_diff_rate_abs_log,39.909942626953125
feachan__fpoint__now_segseg__end__ev_96__point,37.34027099609375
feachan__frange__now_seg__range__close_rolling_2880_std_mean__range_mean_abs_log,32.016754150390625
feachan__frange__now_segseg__range__macdsignal_96__range_diff,29.626266479492188
feachan__frange__last_segseg__range__close_rolling_2880_exp_mean__range_diff,26.960405349731445
feachan__fpoint__last_segseg__end__macdsignal_96__point,22.89154052734375
feachan__fcmp__last_segseg__range_rate12_cmp__bbands_normal_3__cmp_2sum,22.84088134765625
feachan__frange__last_segseg__range__bbands_normal_96__range_mean,22.030914306640625
feachan__fcmp__last_segseg__range_rate12_cmp__K72__cmp_2mean,16.336959838867188
