	0	1	2	3	4	5
414	300892	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2349502436783349	0.002536652282597
414	2911	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2523529649522175	0.0005887070588496
414	688399	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2254804327627298	0.0085526666306195
414	544	type3	target_close2	amount_normalize20_rolling_96_mean	-0.282705174158201	5.2152511127880775e-05
414	592	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2385180475662784	0.0008633631774103
414	300632	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2200027721362592	0.0035347979701741
414	2442	type3	target_close2	amount_normalize20_rolling_96_mean	-0.4031762095568755	7.909391440455148e-08
414	300336	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2535042656020386	0.0012633426706659
414	601528	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2423854270470973	0.0024559695337448
414	2909	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2254488488340726	0.0038093302911377
414	688166	type3	target_close2	amount_normalize20_rolling_96_mean	-0.3735339489119554	2.257370389440986e-05
414	600379	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2513536441212479	0.0019179201723413
414	300189	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2020987383790273	0.0040131945707065
414	688317	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2461697887162011	0.0050942797980804
414	601512	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2088127463303603	0.0088967068739829
414	600018	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2183372936123604	0.0047133222601406
414	39	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2059726261424613	0.0117313275314087
414	600798	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2104771378911446	0.0054437419333581
414	300814	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2815425535236634	0.0017578684651735
414	561	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2151265082234849	0.009362000256413
414	605016	type3	target_close2	amount_normalize20_rolling_96_mean	-0.211888645565309	0.0107871128300495
414	2767	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2424339657607303	0.0011493448297379
414	300318	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2460330992031585	0.0014453570532764
414	603790	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2947337569305026	0.000110437830378
414	300867	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2192913835893124	0.0029364959353028
414	603566	type3	target_close2	amount_normalize20_rolling_96_mean	-0.291721312667661	0.0004076597915643
414	600452	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2283826796241571	0.0025842584082768
414	2785	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2179701867043974	0.0044147957653754
414	688017	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2392201311391615	0.0085029333956358
414	2809	type3	target_close2	amount_normalize20_rolling_96_mean	-0.2731165225044913	0.0005165735915162
