code	sse	code	volunit	decimal_point	name	pre_close	sse	sec
159679	sz	159679	100.0	3.0	1000增	29184.503687500954	sz	etf_cn
159680	sz	159680	100.0	3.0	1000指增	1.0369999408721924	sz	etf_cn
159681	sz	159681	100.0	3.0	创50ETF	26112.50256252289	sz	etf_cn
159682	sz	159682	100.0	3.0	创业五零	25600.50137501955	sz	etf_cn
159683	sz	159683	100.0	3.0	运输ETF	28160.502312481403	sz	etf_cn
159685	sz	159685	100.0	3.0	1000策略	32512.50190627575	sz	etf_cn
159686	sz	159686	100.0	3.0	ZZ100	32768.5	sz	etf_cn
159687	sz	159687	100.0	3.0	亚太低碳	1.090000033378601	sz	etf_cn
159688	sz	159688	100.0	3.0	恒生互联	23296.50353127718	sz	etf_cn
159689	sz	159689	100.0	3.0	消费NF	25088.501187503338	sz	etf_cn
159690	sz	159690	100.0	3.0	矿业ETF	5.877471754111438e-39	sz	etf_cn
159691	sz	159691	100.0	3.0	高股息HK	29440.50378125906	sz	etf_cn
159692	sz	159692	100.0	3.0	证券30	28160.500312507153	sz	etf_cn
159695	sz	159695	100.0	3.0	通信ETF	1.0959999561309814	sz	etf_cn
159696	sz	159696	100.0	3.0	纳100ET	32768.5	sz	etf_cn
159697	sz	159697	100.0	3.0	油气ETF	29440.50378125906	sz	etf_cn
159698	sz	159698	100.0	3.0	粮食ETF	5.877471754111438e-39	sz	etf_cn
159701	sz	159701	100.0	3.0	物联50	18432.500750005245	sz	etf_cn
159703	sz	159703	100.0	3.0	新材料	18176.50265622139	sz	etf_cn
159706	sz	159706	100.0	3.0	深100E	14336.50024998188	sz	etf_cn
159707	sz	159707	100.0	3.0	地产ETF	19712.502218723297	sz	etf_cn
159708	sz	159708	100.0	3.0	红利ETF	15872.502812504768	sz	etf_cn
159709	sz	159709	100.0	3.0	物联基金	24064.500812470913	sz	etf_cn
159710	sz	159710	100.0	3.0	智能电车	10496.500843763351	sz	etf_cn
159711	sz	159711	100.0	3.0	港股50	29952.501968741417	sz	etf_cn
159712	sz	159712	100.0	3.0	港股通50	26624.50174999237	sz	etf_cn
159713	sz	159713	100.0	3.0	稀土ETF	17408.502375006676	sz	etf_cn
159715	sz	159715	100.0	3.0	稀土	12032.50240623951	sz	etf_cn
159716	sz	159716	100.0	3.0	深创100	16128.502906262875	sz	etf_cn
159717	sz	159717	100.0	3.0	ESGETF	22784.50134372711	sz	etf_cn
159718	sz	159718	100.0	3.0	港股医药	15104.50253123045	sz	etf_cn
159719	sz	159719	100.0	3.0	开放共赢	1.3179999589920044	sz	etf_cn
159720	sz	159720	100.0	3.0	智能车TK	12288.502499997616	sz	etf_cn
159721	sz	159721	100.0	3.0	深创ETF	15360.502624988556	sz	etf_cn
159723	sz	159723	100.0	3.0	科技龙头	13824.503062486649	sz	etf_cn
159725	sz	159725	100.0	3.0	线上消费	28416.50240623951	sz	etf_cn
159726	sz	159726	100.0	3.0	恒生红利	22272.500156223774	sz	etf_cn
159728	sz	159728	100.0	3.0	在线消费	30464.503156244755	sz	etf_cn
159729	sz	159729	100.0	3.0	互联ETF	13312.503875017166	sz	etf_cn
159730	sz	159730	100.0	3.0	家电龙头	26880.50084376335	sz	etf_cn
159731	sz	159731	100.0	3.0	石化ETF	13312.500874996185	sz	etf_cn
159732	sz	159732	100.0	3.0	消费电子	11264.502125024796	sz	etf_cn
159733	sz	159733	100.0	3.0	消电ETF	16384.5	sz	etf_cn
159735	sz	159735	100.0	3.0	港股消费	8192.5	sz	etf_cn
159736	sz	159736	100.0	3.0	饮食ETF	22272.50215625763	sz	etf_cn
159738	sz	159738	100.0	3.0	云50ETF	1.0809999704360962	sz	etf_cn
159739	sz	159739	100.0	3.0	大数据	1.1519999504089355	sz	etf_cn
159740	sz	159740	100.0	3.0	恒生科技	2048.503750026226	sz	etf_cn
159741	sz	159741	100.0	3.0	港股科技	2304.501843750477	sz	etf_cn
159742	sz	159742	100.0	3.0	恒指科技	2816.5030312538147	sz	etf_cn
159743	sz	159743	100.0	3.0	湖北ETF	26112.501562476158	sz	etf_cn
159745	sz	159745	100.0	3.0	建材ETF	12800.503687500954	sz	etf_cn
159747	sz	159747	100.0	3.0	香港科技	1.031999945640564	sz	etf_cn
159748	sz	159748	100.0	3.0	AH创新药	6912.500531256199	sz	etf_cn
159750	sz	159750	100.0	3.0	科技HK50	17152.503281235695	sz	etf_cn
159751	sz	159751	100.0	3.0	港科技	13824.502062499523	sz	etf_cn
159752	sz	159752	100.0	3.0	新能源50	10752.502937495708	sz	etf_cn
159755	sz	159755	100.0	3.0	电池ETF	19456.50312501192	sz	etf_cn
159756	sz	159756	100.0	3.0	BOCI电池	5.877471754111438e-39	sz	etf_cn
159757	sz	159757	100.0	3.0	电池30	9728.501562476158	sz	etf_cn
159758	sz	159758	100.0	3.0	红利50	26624.50174999237	sz	etf_cn
159760	sz	159760	100.0	3.0	公卫健康	12032.500406265259	sz	etf_cn
159761	sz	159761	100.0	3.0	新材ETF	8704.500187516212	sz	etf_cn
159763	sz	159763	100.0	3.0	新材料50	7680.501812517643	sz	etf_cn
159766	sz	159766	100.0	3.0	旅游ETF	24320.50190627575	sz	etf_cn
159767	sz	159767	100.0	3.0	电池龙头	9472.502468764782	sz	etf_cn
159768	sz	159768	100.0	3.0	地产龙头	15360.503624975681	sz	etf_cn
159769	sz	159769	100.0	3.0	电子消费	17408.50137501955	sz	etf_cn
159770	sz	159770	100.0	3.0	机器人AI	25344.503281235695	sz	etf_cn
159773	sz	159773	100.0	3.0	创科技	16640.500093758106	sz	etf_cn
159775	sz	159775	100.0	3.0	电池新能	11520.501218736172	sz	etf_cn
159776	sz	159776	100.0	3.0	医药港股	32768.50300002098	sz	etf_cn
159777	sz	159777	100.0	3.0	创科技E	15104.501531243324	sz	etf_cn
159778	sz	159778	100.0	3.0	工业互联	23296.50353127718	sz	etf_cn
159779	sz	159779	100.0	3.0	消电50	10752.501937508583	sz	etf_cn
