	model	day2	all_get2	day_get2	test_day2	test_all_get2	test_day_get2	day5	all_get5	day_get5	test_day5	test_all_get5	test_day_get5	day10	all_get10	day_get10	test_day10	test_all_get10	test_day_get10	day20	all_get20	day_get20	test_day20	test_all_get20	test_day_get20	day30	all_get30	day_get30	test_day30	test_all_get30	test_day_get30	day50	all_get50	day_get50	test_day50	test_all_get50	test_day_get50	day70	all_get70	day_get70	test_day70	test_all_get70	test_day_get70	day90	all_get90	day_get90	test_day90	test_all_get90	test_day_get90	day100	all_get100	day_get100	test_day100	test_all_get100	test_day_get100	sum_over_present	choose_k
0	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent60	260.0	3.723694930958417	1.005069407864652	363.0	5.678811581546536	1.0047958767538034	655.0	17.560928831527562	1.00438466322688	807.0	7.125717334334801	1.0024363092098147	1159.0	82.41607966683068	1.0038137946805834	1330.0	30.172364621077417	1.0025648825145335	2626.6666666666665	2611.2663132045836	1.002999765914029	2576.3333333333335	445.0053622021582	1.0023697667237403	3911.6666666666665	21247.734161746845	1.002550500233249	3770.0	2772.4491307959092	1.0021049939263835	6462.666666666667	309323.03672235017	1.0019580949025815	6452.0	33759.91142112724	1.0016173991611792	9197.666666666666	231191.36606141337	1.0013437427062277	9126.0	45930.391401060064	1.0011769886563435	11976.666666666666	6695.835128281825	1.0007358041912355	11738.333333333334	48215.57181022529	1.0009190735716493	13370.333333333334	110.3302770304935	1.0003518465599357	12988.0	2759.3291040227355	1.000610190929941	0.006122129514771313	60
1	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent80	232.0	4.128523301702874	1.0061304379156244	268.0	3.1775376184715625	1.0043231484195527	488.0	12.91150936390735	1.0052558109308887	519.0	9.813842436673788	1.0044100694298876	1248.0	276.1571186511925	1.004514140524666	1243.0	33.42981507948266	1.0028273588648207	2633.0	9713.079192626315	1.0034930705077634	2585.3333333333335	2205.088685469035	1.0029822060086053	3903.0	88019.70724785195	1.0029213266827888	3791.0	14743.476211084495	1.0025351405125134	6621.0	1203439.911338914	1.002116826446835	6396.0	103171.75670629657	1.0018065313817233	9300.0	850030.5097091475	1.0014691456140257	9092.666666666666	760897.2482900837	1.0014904696010658	11789.666666666666	14900.639048920242	1.0008153815273455	11496.333333333334	84816.97558957295	1.0009876065296501	13192.666666666666	328.2177800727604	1.000439255372468	12910.0	7709.235479560547	1.0006935149096134	0.008122437917236103	80
2	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent100	134.0	2.4370375851458084	1.006669780373617	140.0	1.471909159870292	1.002764960517276	582.0	23.649466362401622	1.0054500910460602	635.0	11.082487857589737	1.003795161712142	1332.0	529.2915565911594	1.004719464690581	1397.0	72.37158958898354	1.0030697082432243	2635.0	16934.899227693466	1.0037021422533148	2649.3333333333335	5080.58624313073	1.0032260715431338	3930.0	200064.27273627324	1.0031107811296334	3799.0	82974.83099363814	1.0029858366484228	6639.666666666667	2305239.696930359	1.0022089769756022	6316.333333333333	776108.8608649722	1.0021494461402667	9277.0	1952885.3746042028	1.001562588388036	8895.666666666666	2562058.6847580886	1.0016601979414586	12057.0	20014.518689881603	1.0008217866999967	11501.0	348829.68542626913	1.0011102880358718	13193.0	368.9612977578486	1.0004481176380005	12948.0	17255.187479680993	1.000753749179625	0.008541075162164291	100
3	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent120	263.0	5.9273102640098605	1.0067893718603889	296.0	5.2926353298589905	1.0056453220503838	658.0	47.62141255585725	1.0058885195753795	728.0	15.688007578299608	1.0037886100427968	1271.0	683.8071823364041	1.005149069491766	1313.0	326.68978600898	1.0044187293923115	2567.0	39932.449563117545	1.004135893749694	2608.0	12457.35987535329	1.0036223681656906	3903.0	580522.5410586662	1.003406168048411	3817.6666666666665	100337.2936967223	1.0030211333558698	6625.666666666667	4557728.790239404	1.0023167614050594	6357.333333333333	1820844.1127281624	1.0022700029464657	9391.0	1768541.746442226	1.001533030551626	8940.333333333334	12259888.762364587	1.0018273089821332	12020.0	11906.741568575973	1.0007810752663182	11585.0	274567.3702109853	1.0010815470694487	13193.0	136.17556878674534	1.0003725354546114	12979.0	10221.631830147988	1.0007115760736625	0.010466019677451754	120
4	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent140	179.0	3.9007632755947728	1.0076333004459224	215.0	2.4587675560079	1.0041932332932222	611.0	43.60914873222977	1.0061979613630971	703.0	27.626458284553795	1.004732034202953	1329.0	1172.663279504203	1.0053317199179523	1349.0	336.0690264190926	1.0043216291197807	2630.0	63834.06186736161	1.004215721414485	2759.6666666666665	15714.038323402312	1.0035073962939631	3986.0	1065820.203683388	1.0034880700111526	4072.0	86699.8549320018	1.002796192715427	6707.0	8896458.915376496	1.0023885889942148	6608.333333333333	309444.2029752062	1.0019149509401182	9327.333333333334	2531655.8581247614	1.0015820217316107	9096.333333333334	8480658.245530427	1.0017553552407688	11920.333333333334	14824.506531306615	1.0008060099179419	11527.0	66707.83851442077	1.0009641217709484	13362.333333333334	41.04577481170411	1.0002780355940744	13069.666666666666	3643.1327058444745	1.000627649711039	0.010794461242011222	140
5	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent160	219.0	5.793553958873325	1.0080539306390708	270.0	2.9083071412265915	1.0039617945508117	589.0	49.49269253488778	1.006646481188745	607.0	18.669688011659133	1.004833557222896	1130.0	760.2632162227711	1.0058877648958753	1148.0	168.2890839307992	1.0044748633014613	2652.0	116829.03747331192	1.004409568066001	2696.6666666666665	21425.541061795342	1.0037048704783984	3990.0	1710109.904954272	1.0036034865760672	3998.0	89758.29070417242	1.0028567179061652	6569.0	27066274.81306503	1.0026086331494117	6448.333333333333	192661.8312655595	1.0018888882082162	9366.333333333334	10219399.966663538	1.0017246569885359	9103.333333333334	1667806.5035231183	1.0015750604010998	12050.333333333334	30164.018213292118	1.0008563099701588	11690.333333333334	22538.908424599944	1.0008577425496754	13405.333333333334	86.36649172952787	1.0003326542658437	13105.666666666666	2081.7769224821755	1.0005831984880045	0.011412035589457137	160
6	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent180	233.0	6.318921903381886	1.0079436101656944	291.0	3.715490147509177	1.0045205326471718	668.0	77.4530250465121	1.0065327302711589	685.0	27.43254678014124	1.0048463482916543	1295.0	1864.7725006033454	1.0058323044710455	1315.0	255.8962620099552	1.0042254589405177	2580.0	168617.5483991234	1.0046757767133057	2600.6666666666665	5559.907195053863	1.0033213211549117	4015.0	4530266.7042177	1.0038245531338925	4058.3333333333335	27176.63769921812	1.0025190063045	6678.0	86724158.52959396	1.0027408326480836	6600.333333333333	52648.193755478205	1.0016484539024604	9380.333333333334	27604488.06252618	1.001828202185594	9177.333333333334	954752.2068564395	1.0015014755479696	12064.333333333334	53879.77095379511	1.0009034424546506	11761.333333333334	17686.92710393626	1.0008319336439175	13405.333333333334	78.42815905482172	1.000325459482761	13126.666666666666	1130.3813090094823	1.0005357181254917	0.010613947106535626	180
7	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent200	222.0	7.037402366538165	1.0088281052942611	228.0	2.506039998807952	1.0040375316663168	659.0	95.47820461953876	1.0069418868439266	715.0	28.18223855499412	1.0046804183186697	1335.0	3082.1134562336383	1.0060356477993995	1307.0	747.4391384721771	1.0050753094837537	2616.0	200836.09321143906	1.0046784344772983	2630.3333333333335	11533.247770640164	1.0035621484283042	3981.0	4433544.493111839	1.003851837899546	4025.3333333333335	127088.5331541603	1.002923934957625	6696.0	91794765.36330815	1.002741964068978	6634.333333333333	289269.0669515324	1.0018972573841423	9329.333333333334	27652244.682664655	1.0018383910881796	9084.333333333334	1245372.3146624079	1.0015461555500005	11984.333333333334	48598.57075952805	1.0009008602414722	11740.333333333334	38532.12373734855	1.0008998038785664	13405.333333333334	47.14368266632028	1.0002874791511207	13154.666666666666	1257.1861086309557	1.0005426642619368	0.01200227711223889	200
8	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent220	201.0	6.832338693605589	1.0096063803711048	171.0	1.7656170828968794	1.0033300953616995	630.0	98.53927463647783	1.007313047492844	644.0	17.435704816982646	1.0044485614164487	1331.0	4134.715232173222	1.0062759405818729	1355.0	978.3462204271235	1.0050947525054377	2626.0	370100.03146120074	1.0048944708182581	2675.3333333333335	44491.694056741355	1.0040086578412701	3977.0	6813719.293607797	1.003964197976105	4087.3333333333335	319070.9866546645	1.0031054076973724	6664.0	121716284.38027412	1.0027976039934454	6538.666666666667	789664.9209797572	1.0020789367481866	9312.666666666666	40846382.6634374	1.001883652673374	9000.0	1223643.6987716826	1.001558696128639	12021.333333333334	63001.24808694623	1.0009196975475396	11678.666666666666	35286.37921268453	1.0008970157593176	13407.333333333334	54.3151430419554	1.0002980009644078	13158.0	1294.0703819076473	1.0005447255902156	0.012526559186550101	220
9	/mnt/lustre/users/sanger-dev/sg-users/liubinxu/soft/finiance/stock_data/finiance/train/amount_normalize20_rolling_96_exp_mean_close480_close2880_down_K72_9_240_3_1000_no_1_kparent240	259.0	12.521867560755336	1.0098063669731692	243.0	3.8843286357073334	1.005599777502238	642.0	146.2930675091746	1.0077959823045812	656.0	28.117466942782666	1.0050989173221245	1312.0	5157.757005232371	1.0065367114949368	1317.0	719.0588562949046	1.005007135786983	2679.0	525362.3934764551	1.0049288084074122	2674.3333333333335	37292.45858853261	1.0039438952698247	4020.0	10915738.713173207	1.004039409202218	4042.3333333333335	426637.3588381026	1.0032121297235685	6704.0	237762383.51526365	1.0028810489416318	6518.666666666667	1184529.4715545939	1.0021476582367779	9375.666666666666	64858827.93274899	1.001920395687975	9107.0	944273.8681153421	1.001511866603596	11950.333333333334	128660.72378661069	1.0009849706237293	11588.666666666666	71758.92021656601	1.0009652933688218	13407.333333333334	62.23075743731532	1.0003081511958996	13134.0	2422.4676943218956	1.0005934866883137	0.01263541603234053	240
